"categories","cv","frequence","reproduction","population","statut"
"ancrage","menace",3,NA,0,3
"hydrocarbures","menace",1,NA,2,3
"autres","menace",1,NA,2,3
"inconnus","menace",1,NA,2,3
"dragage","menace",2,NA,2,3
"depot","menace",2,NA,2,3
"dragage_prevu","menace",1,NA,2,3
"CARGO","menace",4,NA,1,3
"CONTAINER","menace",4,NA,1,3
"DRY.BULK","menace",4,NA,1,3
"GOVERNMENT.RESEARCH","menace",3,NA,1,3
"Observation","menace",3,NA,1,3
"PASSENGER.FERRY.RO.RO","menace",4,NA,1,3
"PLEASURE.VESSELS","menace",3,NA,1,3
"SPECIAL.SHIPS","menace",3,NA,1,3
"TANKER","menace",4,NA,1,3
"TUGS.PORT","menace",3,NA,1,3
"navigation_portuaire","menace",4,NA,1,3
"DD","menace",3,NA,2,3
"DNL","menace",3,NA,2,3
"DNH","menace",3,NA,2,3
"PLB","menace",3,NA,2,3
"PHB","menace",3,NA,2,3
"naufrage","menace",1,NA,0,3
"pollution_maritime","menace",3,NA,2,3
"ancrage","vulnerable",3,NA,0,2
"hydrocarbures","vulnerable",1,NA,2,2
"autres","vulnerable",1,NA,2,2
"inconnus","vulnerable",1,NA,2,2
"dragage","vulnerable",2,NA,2,2
"depot","vulnerable",2,NA,2,2
"dragage_prevu","vulnerable",1,NA,2,2
"CARGO","vulnerable",4,NA,1,2
"CONTAINER","vulnerable",4,NA,1,2
"DRY.BULK","vulnerable",4,NA,1,2
"GOVERNMENT.RESEARCH","vulnerable",3,NA,1,2
"Observation","vulnerable",3,NA,1,2
"PASSENGER.FERRY.RO.RO","vulnerable",4,NA,1,2
"PLEASURE.VESSELS","vulnerable",3,NA,1,2
"SPECIAL.SHIPS","vulnerable",3,NA,1,2
"TANKER","vulnerable",4,NA,1,2
"TUGS.PORT","vulnerable",3,NA,1,2
"navigation_portuaire","vulnerable",4,NA,1,2
"DD","vulnerable",3,NA,2,2
"DNL","vulnerable",3,NA,2,2
"DNH","vulnerable",3,NA,2,2
