"categories","frequence","direct","resistance","retablissement","reproduction","population","statut","residente","cv"
"ancrage",3,3,0,1,0,1,0,1,"rorqual_a_bosse"
"hydrocarbures",1,3,2,2,2,2,0,1,"rorqual_a_bosse"
"autres",1,3,2,2,2,2,0,1,"rorqual_a_bosse"
"inconnus",1,3,2,2,2,2,0,1,"rorqual_a_bosse"
"dragage",2,2,0,1,0,1,0,1,"rorqual_a_bosse"
"depot",2,2,0,1,0,1,0,1,"rorqual_a_bosse"
"dragage_prevu",1,2,0,1,0,1,0,1,"rorqual_a_bosse"
"naufrage",0,0,0,0,0,0,0,1,"rorqual_a_bosse"
"CARGO",4,4,1,3,0,2,0,1,"rorqual_a_bosse"
"CONTAINER",4,4,1,3,0,2,0,1,"rorqual_a_bosse"
"DRY.BULK",4,4,1,3,0,2,0,1,"rorqual_a_bosse"
"GOVERNMENT.RESEARCH",3,3,0,2,0,1,0,1,"rorqual_a_bosse"
"Observation",3,3,0,2,1,1,0,1,"rorqual_a_bosse"
"PASSENGER.FERRY.RO.RO",4,4,1,3,0,2,0,1,"rorqual_a_bosse"
"PLEASURE.VESSELS",3,3,1,3,0,1,0,1,"rorqual_a_bosse"
"SPECIAL.SHIPS",3,3,1,3,0,1,0,1,"rorqual_a_bosse"
"TANKER",4,4,1,3,0,2,0,1,"rorqual_a_bosse"
"TUGS.PORT",3,3,1,3,0,1,0,1,"rorqual_a_bosse"
"navigation_portuaire",4,3,1,3,0,1,0,1,"rorqual_a_bosse"
"DD",0,0,0,1,0,0,0,1,"rorqual_a_bosse"
"DNL",0,0,0,0,0,0,0,1,"rorqual_a_bosse"
"DNH",3,4,1,2,0,1,0,1,"rorqual_a_bosse"
"PLB",0,0,0,0,0,0,0,1,"rorqual_a_bosse"
"PHB",0,0,0,0,0,0,0,1,"rorqual_a_bosse"
"peche_fleuve",0,0,0,0,0,0,0,0,"rorqual_a_bosse"
"pollution_maritime",3,3,1,3,2,3,0,1,"rorqual_a_bosse"
"ancrage",3,3,0,1,0,1,3,1,"rorqual_bleu"
"hydrocarbures",1,3,2,2,2,2,3,1,"rorqual_bleu"
"autres",1,3,2,2,2,2,3,1,"rorqual_bleu"
"inconnus",1,3,2,2,2,2,3,1,"rorqual_bleu"
"dragage",2,2,0,1,0,1,3,1,"rorqual_bleu"
"depot",2,2,0,1,0,1,3,1,"rorqual_bleu"
"dragage_prevu",1,2,0,1,0,1,3,1,"rorqual_bleu"
"naufrage",0,0,0,0,0,0,3,1,"rorqual_bleu"
"CARGO",4,4,1,3,0,2,3,1,"rorqual_bleu"
"CONTAINER",4,4,1,3,0,2,3,1,"rorqual_bleu"
"DRY.BULK",4,4,1,3,0,2,3,1,"rorqual_bleu"
"GOVERNMENT.RESEARCH",3,3,0,2,0,1,3,1,"rorqual_bleu"
"Observation",3,3,0,2,1,1,3,1,"rorqual_bleu"
"PASSENGER.FERRY.RO.RO",4,4,1,3,0,2,3,1,"rorqual_bleu"
"PLEASURE.VESSELS",3,3,1,3,0,1,3,1,"rorqual_bleu"
"SPECIAL.SHIPS",3,3,1,3,0,1,3,1,"rorqual_bleu"
"TANKER",4,4,1,3,0,2,3,1,"rorqual_bleu"
"TUGS.PORT",3,3,1,3,0,1,3,1,"rorqual_bleu"
"navigation_portuaire",4,3,1,3,0,1,3,1,"rorqual_bleu"
"DD",0,0,0,1,0,0,3,1,"rorqual_bleu"
"DNL",0,0,0,0,0,0,3,1,"rorqual_bleu"
"DNH",3,4,1,2,0,1,3,1,"rorqual_bleu"
"PLB",0,0,0,0,0,0,3,1,"rorqual_bleu"
"PHB",0,0,0,0,0,0,3,1,"rorqual_bleu"
"peche_fleuve",0,0,0,0,0,0,0,0,"rorqual_bleu"
"pollution_maritime",3,3,1,3,2,3,3,1,"rorqual_bleu"
"ancrage",3,3,0,1,0,1,0,2,"petit_rorqual"
"hydrocarbures",1,3,2,2,2,2,0,2,"petit_rorqual"
"autres",1,3,2,2,2,2,0,2,"petit_rorqual"
"inconnus",1,3,2,2,2,2,0,2,"petit_rorqual"
"dragage",2,2,0,1,0,1,0,2,"petit_rorqual"
"depot",2,2,0,1,0,1,0,2,"petit_rorqual"
"dragage_prevu",1,2,0,1,0,1,0,2,"petit_rorqual"
"naufrage",0,0,0,0,0,0,0,2,"petit_rorqual"
"CARGO",4,3,1,3,0,1,0,2,"petit_rorqual"
"CONTAINER",4,3,1,3,0,1,0,2,"petit_rorqual"
"DRY.BULK",4,3,1,3,0,1,0,2,"petit_rorqual"
"GOVERNMENT.RESEARCH",3,3,0,2,0,1,0,2,"petit_rorqual"
"Observation",3,3,0,2,0,1,0,2,"petit_rorqual"
"PASSENGER.FERRY.RO.RO",4,3,1,3,0,1,0,2,"petit_rorqual"
"PLEASURE.VESSELS",3,3,1,3,0,1,0,2,"petit_rorqual"
"SPECIAL.SHIPS",3,3,1,3,0,1,0,2,"petit_rorqual"
"TANKER",4,3,1,3,0,1,0,2,"petit_rorqual"
"TUGS.PORT",3,3,1,3,0,1,0,2,"petit_rorqual"
"navigation_portuaire",4,3,1,3,0,1,0,2,"petit_rorqual"
"DD",0,0,0,0,0,0,0,2,"petit_rorqual"
