"comp_val","accronyme","title","title_en","type","francais","source","english","type_en","simple"
"berge","naturelle_semi_vegetalisee","Intégrité des berges","Bank integrity","Naturelle","Naturelle - Semi-végétalisée (IE = 1)","0017","Natural - Semi-vegetated (EI = 1)","Natural","Naturelle - Semi-végétalisée"
"berge","naturelle_vive","Intégrité des berges","Bank integrity","Naturelle","Naturelle - Vive (IE = 2)","0017","Natural - Active (EI = 2)","Natural","Naturelle - Vive"
"berge","artificielle_semi_vegetalisee","Intégrité des berges","Bank integrity","Artificielle","Artificielle - Semi-végétalisée (IE = 1)","0017","Artificial - Semi-vegetated (EI = 1)","Artificial","Artificielle - Semi-végétalisée"
"berge","artificielle_vive","Intégrité des berges","Bank integrity","Artificielle","Artificielle - Vive (IE = 2)","0017","Artificial - Active (EI = 2)","Artificial","Artificielle - Vive"
"habitat","zostere","Habitats","Habitats","Milieux naturels","Zostères","0001,0002,0003","Eelgrass","Natural areas","Zostères"
"habitat","zone_inondable","Habitats","Habitats","Milieux naturels","Zones inondables","0013,0014","Floodplain zones","Natural areas","Zones inondables"
"habitat","eau_peu_profonde","Habitats","Habitats","Milieux naturels","Eau peu profonde","0053","Shallow water","Natural areas","Eau peu profonde"
"habitat","marais","Habitats","Habitats","Milieux naturels","Marais","0053","Marshes","Natural areas","Marais"
"habitat","marecage","Habitats","Habitats","Milieux naturels","Marécage","0053","Swamps","Natural areas","Marécage"
"habitat","milieu_humide","Habitats","Habitats","Milieux naturels","Milieu humide","0053","Wetland","Natural areas","Milieu humide"
"habitat","site_alevinage","Habitats","Habitats","Cycles de vie","Sites d'alevinage","0086","Nursery sites","Life cycles","Sites d'alevinage"
"habitat","frayere","Habitats","Habitats","Cycles de vie","Frayères","0087,0073,0074,0075,0076","Spawning sites","Life cycles","Frayères"
"habitat","oiseaux","Habitats","Habitats","Cycles de vie","Oiseaux","0043,0058","Birds","Life cycles","Oiseaux"
"habitat","gisement_coquilliers","Habitats","Habitats","Milieux naturels","Gisements coquilliers","0057,0078,0079,0081","Mollusk beds","Natural areas","Gisements coquilliers"
"habitat","meuble_sans_falaise","Habitats","Habitats","Milieux naturels","Meuble sans falaise","0017","Soft without cliff","Natural areas","Meuble sans falaise"
"habitat","rocheuse_sans_falaise","Habitats","Habitats","Milieux naturels","Rocheux sans falaise","0017","Rocky without bluff","Natural areas","Rocheux sans falaise"
"habitat","rocheuse_sans_escarpement","Habitats","Habitats","Milieux naturels","Rocheux sans escarpement","0017","Rocky without cliff","Natural areas","Rocheux sans escarpement"
"habitat","terrasse_fluviale","Habitats","Habitats","Milieux naturels","Terrasse fluviale","0017","Beach terrace","Natural areas","Terrasse fluviale"
"habitat","terrasse_plage","Habitats","Habitats","Milieux naturels","Terrasse de plage","0017","Fluvial terrace","Natural areas","Terrasse de plage"
"habitat","faune_susceptible","Habitats","Habitats","Espèces à statut","Espèces fauniques susceptibles","0059","Susceptible wildlife species","Species at risk","Espèces fauniques susceptibles"
"habitat","faune_vulnerable","Habitats","Habitats","Espèces à statut","Espèces fauniques vulnérables","0059","Vulnerable wildlife species","Species at risk","Espèces fauniques vulnérables"
"habitat","faune_menacee","Habitats","Habitats","Espèces à statut","Espèces fauniques menacées","0059","Threatened wildlife species","Species at risk","Espèces fauniques menacées"
"habitat","flore_susceptible","Habitats","Habitats","Espèces à statut","Espèces floristiques susceptibles","0060","Susceptible plant species","Species at risk","Espèces floristiques susceptibles"
"habitat","flore_vulnerable","Habitats","Habitats","Espèces à statut","Espèces floristiques vulnérables","0060","Vulnerable plant species","Species at risk","Espèces floristiques vulnérables"
"habitat","flore_menacee","Habitats","Habitats","Espèces à statut","Espèces floristiques menacées","0060","Threatened plant species","Species at risk","Espèces floristiques menacées"
"habitat","lep_menacee","Habitats","Habitats","Espèces à statut","Espèces menacées","0077","Endangered species","Species at risk","Espèces menacées"
"habitat","lep_voie_disparition","Habitats","Habitats","Espèces à statut","Espèces en voie de disparition","0077","Threatened species","Species at risk","Espèces en voie de disparition"
"habitat","biovolume_herbier_faible","Habitats","Habitats","Milieux naturels","Biovolume herbiers aquatique - faible","0084","Grassland biovolume - low","Natural areas","Biovolume herbiers aquatique - faible"
"habitat","biovolume_herbier_modere","Habitats","Habitats","Milieux naturels","Biovolume herbiers aquatique - modéré","0084","Grassland biovolume - moderate","Natural areas","Biovolume herbiers aquatique - modéré"
"habitat","biovolume_herbier_eleve","Habitats","Habitats","Milieux naturels","Biovolume herbiers aquatique - élevé","0084","Grassland biovolume - high","Natural areas","Biovolume herbiers aquatique - élevé"
"mammiferes_marins","rorqual_a_bosse","Mammifères marins","Marine mammals","Baleine","Rorqual à bosse","0085","Humpback whale","Whale","Rorqual à bosse"
"mammiferes_marins","rorqual_bleu","Mammifères marins","Marine mammals","Baleine","Rorqual bleu","0085","Blue whale","Whale","Rorqual bleu"
"mammiferes_marins","petit_rorqual","Mammifères marins","Marine mammals","Baleine","Petit rorqual","0085","Minke whale","Whale","Petit rorqual"
"mammiferes_marins","beluga","Mammifères marins","Marine mammals","Baleine","Béluga","0027","St. Lawrence beluga whale","Whale","Béluga"
"mammiferes_marins","rorqual_commun","Mammifères marins","Marine mammals","Baleine","Rorqual commun","0085","Fin whale","Whale","Rorqual commun"
"mammiferes_marins","harbour_porpoise","Mammifères marins","Marine mammals","Baleine","Marsouin commun","0054","Harbour porpoise","Whale","Marsouin commun"
"mammiferes_marins","grey_seal","Mammifères marins","Marine mammals","Phoque","Phoque gris","0054","Grey seal","Seal","Phoque gris"
"mammiferes_marins","harbor_seal","Mammifères marins","Marine mammals","Phoque","Phoque commun","0054","Harbor seal","Seal","Phoque commun"
"mammiferes_marins","harp_seal","Mammifères marins","Marine mammals","Phoque","Phoque du Groenland","0054","Harp seal","Seal","Phoque du Groenland"
"site","aghamm_peche_commerciale","Sites d’intérêt","Areas of interest","Association de gestion halieutique Mi'kmaq et Malécite","Pêche commerciale","0022","Commercial fishing","Mi'kmaq and Maliseet Aboriginal Fisheries Management Association","Pêche commerciale"
"site","aghamm_peche_traditionnelle","Sites d’intérêt","Areas of interest","Association de gestion halieutique Mi'kmaq et Malécite","Pêche traditionnelle","0023","Traditional fishing","Mi'kmaq and Maliseet Aboriginal Fisheries Management Association","Pêche traditionnelle"
"site","essipit_culture_patrimoine","Sites d’intérêt","Areas of interest","Nation des Innus d’Essipit","Culture et patrimoine","0024","Culture and heritage","Innu Nation of Essipit","Culture et patrimoine"
"site","essipit_peche_traditionnelle","Sites d’intérêt","Areas of interest","Nation des Innus d’Essipit","Pêche traditionnelle","0024","Traditional fishing","Innu Nation of Essipit","Pêche traditionnelle"
"site","essipit_chasse_oiseaux","Sites d’intérêt","Areas of interest","Nation des Innus d’Essipit","Chasse aux oiseaux migrateurs","0024","Migratory bird hunting","Innu Nation of Essipit","Chasse aux oiseaux migrateurs"
"site","essipit_chasse_phoque","Sites d’intérêt","Areas of interest","Nation des Innus d’Essipit","Chasse aux phoques","0024","Seal hunting","Innu Nation of Essipit","Chasse aux phoques"
"site","essipit_peche_commerciale","Sites d’intérêt","Areas of interest","Nation des Innus d’Essipit","Pêche commerciale","0024","Commercial fishing","Innu Nation of Essipit","Pêche commerciale"
