"stresseur","accronyme","title","title_en","francais","description","source","english","description_en"
"ancrage","ancrage","Ancrage","Anchorage","Sites d'ancrage commerciaux","Distribution des sites d'ancrage pour la navigation commerciale","0070,0071","Commercial anchorage sites","Distribution of anchorage sites for commercial shipping"
"deversement","hydrocarbures","Déversements accidentels","Accidental spills","Hydrocarbures","Déversement d'hydrocarbures, e.g. carburant, diésel, pétrole, propane, huile hydraulique, etc.","0016","Hydrocarbons","Hydrocarbon spills, e.g. fuel, diesel, oil, propane, hydraulic oil, etc."
"deversement","autres","Déversements accidentels","Accidental spills","Autres","Déversements autres que des hydrocarbures, e.g. des eaux de ballast, des déchets, de l'eau de cale, du charbon, de la matière organique, etc.","0016","Others","Spills other than hydrocarbons, e.g. ballast water, waste, bilge water, coal, organic matter, etc."
"deversement","inconnus","Déversements accidentels","Accidental spills","Contenu inconnu","Déversements dont le contenu est inconnu","0016","Unknown content","Spills content of which is unknown"
"dragage","dragage","Dragage","Dredging","Sites de dragage","Sites de dragage d'entretien, i.e. dragage plus ou moins régulier de la voie navigable afin de maintenir des conditions sécuritaires pour la navigation.","0018,0019,0046,0048,0052,0069","Dredging sites","Maintenance dredging sites, i.e. more or less regular dredging of the waterway in order to maintain safe conditions for navigation."
"dragage","depot","Dragage","Dredging","Sites de dépôts","Sites de dépôt en milieu aquatique ou marin des sédiments dragués lors d'opération de dragage d'entretien ou de capitalisation.","0018,0019,0046,0048,0069","Disposal sites","Disposal sites in the aquatic or marine environment for sediments dredged during maintenance or capitalization dredging operations."
"dragage","dragage_prevu","Dragage","Dredging","Dragages de capitalisation prévus","Sites de dragage de capitalisation prévus, i.e. dragage visant à approfondir et élargir la voie de navigation.","0049,0050","Planned capitalization dredging","Planned capitalization dredging sites, i.e. dredging to deepen and widen the waterway."
"naufrage","naufrage","Naufrage","Shipwreck","Sites de naufrages répertoriés","Épaves échouées ou submergées de navires commerciaux et récréatifs.","0062","Recorded shipwreck sites","Grounded or submerged wrecks of commercial and recreational vessels."
"navigation","CARGO","Navigation","Shipping","Cargo","Trafic maritime de navires de commerce transportant des marchandises sous diverses formes.","0020,0021","Cargo","Marine traffic of commercial vessels transporting goods in various forms."
"navigation","CONTAINER","Navigation","Shipping","Porte-conteneurs","Trafic maritime de navires de commerce transportant des marchandises exclusivement dans des conteneurs de transport.","0020,0021","Containers","Marine traffic of commercial vessels transporting goods exclusively in transport containers."
