categories,frequence,direct,resistance,retablissement,reproduction,population,statut,residente
ancrage,3,3,0,1,1,1,3,3
hydrocarbures,1,3,2,2,2,3,3,3
autres,1,3,2,2,2,3,3,3
inconnus,1,3,2,2,2,3,3,3
dragage,2,2,0,1,0,3,3,3
depot,2,2,0,1,0,3,3,3
dragage_prevu,1,2,0,1,0,3,3,3
CARGO,4,3,1,3,1,1,3,3
CONTAINER,4,3,1,3,1,1,3,3
DRY.BULK,4,3,1,3,1,1,3,3
GOVERNMENT.RESEARCH,3,3,0,2,0,1,3,3
Observation,3,3,0,2,1,1,3,3
PASSENGER.FERRY.RO.RO,4,3,1,3,1,1,3,3
PLEASURE.VESSELS,3,3,1,3,1,1,3,3
SPECIAL.SHIPS,3,3,1,3,1,1,3,3
TANKER,4,3,1,3,1,1,3,3
TUGS.PORT,3,3,1,3,1,1,3,3
navigation_portuaire,4,3,1,3,1,1,3,3
DD,0,0,0,1,0,0,3,3
DNL,3,4,1,2,0,1,3,3
DNH,3,4,1,2,0,1,3,3
PLB,0,0,0,1,0,0,3,3
PHB,0,0,0,1,0,0,3,3
naufrage,0,0,0,1,0,1,3,3
pollution_maritime,3,3,1,3,2,3,3,3
