categories,frequence,direct,resistance,retablissement,reproduction,population,statut,residente
ancrage,3,0,0,1,1,1,0,1
hydrocarbures,1,3,2,2,2,1,0,1
autres,1,3,2,2,2,1,0,1
inconnus,1,3,2,2,2,1,0,1
dragage,0,0,0,0,0,0,0,0
depot,0,0,0,0,0,0,0,0
dragage_prevu,0,0,0,0,0,0,0,0
naufrage,0,0,0,0,0,0,0,1
CARGO,4,3,1,3,1,1,0,1
CONTAINER,4,3,1,3,1,1,0,1
DRY.BULK,4,3,1,3,1,1,0,1
GOVERNMENT.RESEARCH,3,3,0,2,0,1,0,1
Observation,0,0,0,0,0,0,0,0
PASSENGER.FERRY.RO.RO,4,3,1,3,1,1,0,1
PLEASURE.VESSELS,3,3,1,3,1,1,0,1
SPECIAL.SHIPS,3,3,1,3,1,1,0,1
TANKER,4,3,1,3,1,1,0,1
TUGS.PORT,3,3,1,3,1,1,0,1
navigation_portuaire,4,3,1,3,1,1,0,1
DD,0,0,0,0,0,0,0,1
DNL,0,0,0,0,0,0,0,1
DNH,0,0,0,0,0,0,0,1
PLB,0,0,0,0,0,0,0,1
PHB,0,0,0,0,0,0,0,1
peche_fleuve,0,0,0,0,0,0,0,0
pollution_maritime,3,3,1,3,2,3,0,1
