categories,frequence,direct,resistance,retablissement,reproduction,population,statut,residente
ancrage,3,3,0,1,0,1,0,2
hydrocarbures,1,3,2,2,2,2,0,2
autres,1,3,2,2,2,2,0,2
inconnus,1,3,2,2,2,2,0,2
dragage,2,2,0,1,0,1,0,2
depot,2,2,0,1,0,1,0,2
dragage_prevu,1,2,0,1,0,1,0,2
CARGO,4,3,1,3,0,1,0,2
CONTAINER,4,3,1,3,0,1,0,2
DRY.BULK,4,3,1,3,0,1,0,2
GOVERNMENT.RESEARCH,3,3,0,2,0,1,0,2
Observation,3,3,0,2,0,1,0,2
PASSENGER.FERRY.RO.RO,4,3,1,3,0,1,0,2
PLEASURE.VESSELS,3,3,1,3,0,1,0,2
SPECIAL.SHIPS,3,3,1,3,0,1,0,2
TANKER,4,3,1,3,0,1,0,2
TUGS.PORT,3,3,1,3,0,1,0,2
navigation_portuaire,4,3,1,3,0,1,0,2
DD,0,0,0,0,0,0,0,2
DNL,0,0,0,0,0,0,0,2
DNH,3,4,1,2,0,1,0,2
PLB,0,0,0,0,0,0,0,2
PHB,0,0,0,0,0,0,0,2
naufrage,0,0,0,0,0,0,0,2
pollution_maritime,3,3,1,3,2,3,0,2
