categories,frequence,direct,resistance,retablissement,reproduction,population,statut,residente
ancrage,3,3,0,1,0,1,3,1
hydrocarbures,1,3,2,2,2,2,3,1
autres,1,3,2,2,2,2,3,1
inconnus,1,3,2,2,2,2,3,1
dragage,2,2,0,1,0,1,3,1
depot,2,2,0,1,0,1,3,1
dragage_prevu,1,2,0,1,0,1,3,1
CARGO,3,3,1,3,0,1,3,1
CONTAINER,3,3,1,3,0,1,3,1
DRY.BULK,3,3,1,3,0,1,3,1
GOVERNMENT.RESEARCH,3,3,0,2,0,1,3,1
Observation,3,3,0,2,0,1,3,1
PASSENGER.FERRY.RO.RO,3,3,1,3,0,1,3,1
PLEASURE.VESSELS,3,3,1,3,0,1,3,1
SPECIAL.SHIPS,3,3,1,3,0,1,3,1
TANKER,3,3,1,3,0,1,3,1
TUGS.PORT,3,3,1,3,0,1,3,1
navigation_portuaire,3,3,1,3,0,1,3,1
DD,0,0,0,1,0,0,3,1
DNL,3,4,1,2,0,1,3,1
DNH,3,4,1,2,0,1,3,1
PLB,0,0,0,1,0,0,3,1
PHB,0,0,0,1,0,0,3,1
naufrage,0,0,0,1,0,1,3,1
pollution_maritime,3,3,1,3,2,3,3,1
